model name,query name,query index,result,time
AirplaneLD-COL-0010,ReachabilityCardinality.xml,1,timeout,2
AirplaneLD-COL-0010,ReachabilityCardinality.xml,10,timeout,2
AirplaneLD-COL-0010,ReachabilityCardinality.xml,11,timeout,2
AirplaneLD-COL-0010,ReachabilityCardinality.xml,12,timeout,2
AirplaneLD-COL-0010,ReachabilityCardinality.xml,13,timeout,2
AirplaneLD-COL-0010,ReachabilityCardinality.xml,14,timeout,2
AirplaneLD-COL-0010,ReachabilityCardinality.xml,15,timeout,2
AirplaneLD-COL-0010,ReachabilityCardinality.xml,16,timeout,2
AirplaneLD-COL-0010,ReachabilityCardinality.xml,2,timeout,2
AirplaneLD-COL-0010,ReachabilityCardinality.xml,3,timeout,2
AirplaneLD-COL-0010,ReachabilityCardinality.xml,4,timeout,2
AirplaneLD-COL-0010,ReachabilityCardinality.xml,5,timeout,2
AirplaneLD-COL-0010,ReachabilityCardinality.xml,6,timeout,2
AirplaneLD-COL-0010,ReachabilityCardinality.xml,7,timeout,2
AirplaneLD-COL-0010,ReachabilityCardinality.xml,8,timeout,2
AirplaneLD-COL-0010,ReachabilityCardinality.xml,9,timeout,2
AirplaneLD-COL-0020,ReachabilityCardinality.xml,1,timeout,2
AirplaneLD-COL-0020,ReachabilityCardinality.xml,10,timeout,2
AirplaneLD-COL-0020,ReachabilityCardinality.xml,11,timeout,2
AirplaneLD-COL-0020,ReachabilityCardinality.xml,12,timeout,2
AirplaneLD-COL-0020,ReachabilityCardinality.xml,13,timeout,2
AirplaneLD-COL-0020,ReachabilityCardinality.xml,14,timeout,2
AirplaneLD-COL-0020,ReachabilityCardinality.xml,15,timeout,2
AirplaneLD-COL-0020,ReachabilityCardinality.xml,16,timeout,2
AirplaneLD-COL-0020,ReachabilityCardinality.xml,2,timeout,2
AirplaneLD-COL-0020,ReachabilityCardinality.xml,3,timeout,2
AirplaneLD-COL-0020,ReachabilityCardinality.xml,4,timeout,2
AirplaneLD-COL-0020,ReachabilityCardinality.xml,5,timeout,2
AirplaneLD-COL-0020,ReachabilityCardinality.xml,6,timeout,2
AirplaneLD-COL-0020,ReachabilityCardinality.xml,7,timeout,2
AirplaneLD-COL-0020,ReachabilityCardinality.xml,8,timeout,2
AirplaneLD-COL-0020,ReachabilityCardinality.xml,9,timeout,2
AirplaneLD-COL-0050,ReachabilityCardinality.xml,1,timeout,2
AirplaneLD-COL-0050,ReachabilityCardinality.xml,10,timeout,2
AirplaneLD-COL-0050,ReachabilityCardinality.xml,11,timeout,2
AirplaneLD-COL-0050,ReachabilityCardinality.xml,12,timeout,2
AirplaneLD-COL-0050,ReachabilityCardinality.xml,13,timeout,2
AirplaneLD-COL-0050,ReachabilityCardinality.xml,14,timeout,2
AirplaneLD-COL-0050,ReachabilityCardinality.xml,15,timeout,2
AirplaneLD-COL-0050,ReachabilityCardinality.xml,16,timeout,2
AirplaneLD-COL-0100,ReachabilityCardinality.xml,10,error,0.639143705368042
AirplaneLD-COL-0100,ReachabilityCardinality.xml,13,error,0.6471526622772217
AirplaneLD-COL-0100,ReachabilityCardinality.xml,3,error,0.6510796546936035
AirplaneLD-COL-0100,ReachabilityCardinality.xml,2,error,0.660968542098999
AirplaneLD-COL-0100,ReachabilityCardinality.xml,5,error,0.6626091003417969
AirplaneLD-COL-0100,ReachabilityCardinality.xml,12,error,0.671283483505249
AirplaneLD-COL-0100,ReachabilityCardinality.xml,16,error,0.6720218658447266
AirplaneLD-COL-0100,ReachabilityCardinality.xml,4,error,0.7416698932647705
AirplaneLD-COL-0100,ReachabilityCardinality.xml,11,error,0.7615246772766113
AirplaneLD-COL-0100,ReachabilityCardinality.xml,15,error,0.7614474296569824
AirplaneLD-COL-0100,ReachabilityCardinality.xml,1,error,0.7666137218475342
AirplaneLD-COL-0100,ReachabilityCardinality.xml,14,error,0.9975147247314453
AirplaneLD-COL-0100,ReachabilityCardinality.xml,9,error,0.3827321529388428
AirplaneLD-COL-0100,ReachabilityCardinality.xml,6,error,0.4332754611968994
AirplaneLD-COL-0100,ReachabilityCardinality.xml,7,error,0.4892916679382324
AirplaneLD-COL-0100,ReachabilityCardinality.xml,8,error,0.5139038562774658
AirplaneLD-COL-0200,ReachabilityCardinality.xml,1,error,0.5711846351623535
AirplaneLD-COL-0200,ReachabilityCardinality.xml,11,error,0.6169865131378174
AirplaneLD-COL-0200,ReachabilityCardinality.xml,10,error,0.6865053176879883
AirplaneLD-COL-0200,ReachabilityCardinality.xml,15,error,0.6182498931884766
AirplaneLD-COL-0200,ReachabilityCardinality.xml,13,error,0.6575229167938232
AirplaneLD-COL-0200,ReachabilityCardinality.xml,12,error,0.678598165512085
AirplaneLD-COL-0200,ReachabilityCardinality.xml,14,error,0.7514286041259766
AirplaneLD-COL-0200,ReachabilityCardinality.xml,16,error,0.6654212474822998
AirplaneLD-COL-0200,ReachabilityCardinality.xml,3,error,0.5954008102416992
AirplaneLD-COL-0200,ReachabilityCardinality.xml,2,error,0.6664938926696777
AirplaneLD-COL-0200,ReachabilityCardinality.xml,4,error,0.6460433006286621
AirplaneLD-COL-0200,ReachabilityCardinality.xml,6,error,0.6094765663146973
AirplaneLD-COL-0200,ReachabilityCardinality.xml,5,error,0.6988353729248047
AirplaneLD-COL-0200,ReachabilityCardinality.xml,7,error,0.6567058563232422
AirplaneLD-COL-0050,ReachabilityCardinality.xml,2,timeout,2
AirplaneLD-COL-0050,ReachabilityCardinality.xml,3,timeout,2
AirplaneLD-COL-0050,ReachabilityCardinality.xml,4,timeout,2
AirplaneLD-COL-0050,ReachabilityCardinality.xml,5,timeout,2
AirplaneLD-COL-0050,ReachabilityCardinality.xml,6,timeout,2
AirplaneLD-COL-0050,ReachabilityCardinality.xml,7,timeout,2
AirplaneLD-COL-0050,ReachabilityCardinality.xml,8,timeout,2
AirplaneLD-COL-0050,ReachabilityCardinality.xml,9,timeout,2
AirplaneLD-COL-0200,ReachabilityCardinality.xml,9,error,0.6471378803253174
AirplaneLD-COL-0200,ReachabilityCardinality.xml,8,error,0.6851379871368408
AirplaneLD-COL-0500,ReachabilityCardinality.xml,10,error,0.8681211471557617
AirplaneLD-COL-0500,ReachabilityCardinality.xml,1,error,0.8755631446838379
AirplaneLD-COL-0500,ReachabilityCardinality.xml,11,error,0.9524970054626465
AirplaneLD-COL-1000,ReachabilityCardinality.xml,11,error,0.44461488723754883
AirplaneLD-COL-1000,ReachabilityCardinality.xml,10,error,0.45143723487854004
AirplaneLD-COL-1000,ReachabilityCardinality.xml,12,error,0.46735072135925293
AirplaneLD-COL-0500,ReachabilityCardinality.xml,14,error,0.8054249286651611
AirplaneLD-COL-1000,ReachabilityCardinality.xml,1,error,0.4999709129333496
AirplaneLD-COL-0500,ReachabilityCardinality.xml,12,error,0.9482057094573975
AirplaneLD-COL-0500,ReachabilityCardinality.xml,13,error,0.9942610263824463
AirplaneLD-COL-1000,ReachabilityCardinality.xml,13,error,0.40560197830200195
AirplaneLD-COL-1000,ReachabilityCardinality.xml,14,error,0.4148681163787842
AirplaneLD-COL-0500,ReachabilityCardinality.xml,15,error,0.9346117973327637
AirplaneLD-COL-0500,ReachabilityCardinality.xml,2,error,0.8993430137634277
AirplaneLD-COL-0500,ReachabilityCardinality.xml,16,error,0.9220607280731201
AirplaneLD-COL-0500,ReachabilityCardinality.xml,9,error,0.7903416156768799
AirplaneLD-COL-0500,ReachabilityCardinality.xml,3,error,0.9080445766448975
AirplaneLD-COL-0500,ReachabilityCardinality.xml,4,error,0.9055378437042236
AirplaneLD-COL-0500,ReachabilityCardinality.xml,8,error,0.9022986888885498
AirplaneLD-COL-1000,ReachabilityCardinality.xml,15,error,0.4558684825897217
AirplaneLD-COL-1000,ReachabilityCardinality.xml,16,error,0.4513547420501709
AirplaneLD-COL-0500,ReachabilityCardinality.xml,7,error,0.9400393962860107
AirplaneLD-COL-1000,ReachabilityCardinality.xml,2,error,0.4869208335876465
AirplaneLD-COL-1000,ReachabilityCardinality.xml,3,error,0.4720766544342041
AirplaneLD-COL-1000,ReachabilityCardinality.xml,5,error,0.47112274169921875
AirplaneLD-COL-1000,ReachabilityCardinality.xml,4,error,0.4923684597015381
AirplaneLD-COL-1000,ReachabilityCardinality.xml,7,error,0.35418176651000977
AirplaneLD-COL-1000,ReachabilityCardinality.xml,6,error,0.42754125595092773
AirplaneLD-COL-0500,ReachabilityCardinality.xml,5,error,1.0486977100372314
AirplaneLD-COL-0500,ReachabilityCardinality.xml,6,error,1.0592105388641357
AirplaneLD-COL-1000,ReachabilityCardinality.xml,9,error,0.4172022342681885
AirplaneLD-COL-1000,ReachabilityCardinality.xml,8,error,0.45093488693237305
AirplaneLD-COL-2000,ReachabilityCardinality.xml,11,error,0.4016530513763428
AirplaneLD-COL-2000,ReachabilityCardinality.xml,1,error,0.46813201904296875
AirplaneLD-COL-2000,ReachabilityCardinality.xml,12,error,0.45068979263305664
AirplaneLD-COL-2000,ReachabilityCardinality.xml,10,error,0.505150318145752
AirplaneLD-COL-2000,ReachabilityCardinality.xml,16,error,0.41666078567504883
AirplaneLD-COL-2000,ReachabilityCardinality.xml,14,error,0.43233180046081543
AirplaneLD-COL-2000,ReachabilityCardinality.xml,13,error,0.4895615577697754
AirplaneLD-COL-2000,ReachabilityCardinality.xml,4,error,0.4530196189880371
AirplaneLD-COL-2000,ReachabilityCardinality.xml,3,error,0.4656212329864502
AirplaneLD-COL-2000,ReachabilityCardinality.xml,15,error,0.5042686462402344
AirplaneLD-COL-2000,ReachabilityCardinality.xml,5,error,0.4651172161102295
AirplaneLD-COL-2000,ReachabilityCardinality.xml,2,error,0.535557746887207
AirplaneLD-COL-2000,ReachabilityCardinality.xml,8,error,0.449779748916626
AirplaneLD-COL-2000,ReachabilityCardinality.xml,7,error,0.4642360210418701
AirplaneLD-COL-2000,ReachabilityCardinality.xml,6,error,0.4921543598175049
AirplaneLD-COL-2000,ReachabilityCardinality.xml,9,error,0.4565572738647461
AirplaneLD-COL-4000,ReachabilityCardinality.xml,10,error,0.5587687492370605
AirplaneLD-COL-4000,ReachabilityCardinality.xml,1,error,0.5803704261779785
AirplaneLD-COL-4000,ReachabilityCardinality.xml,12,error,0.537764310836792
AirplaneLD-COL-4000,ReachabilityCardinality.xml,13,error,0.5286014080047607
AirplaneLD-COL-4000,ReachabilityCardinality.xml,11,error,0.5820128917694092
AirplaneLD-COL-4000,ReachabilityCardinality.xml,14,error,0.5628454685211182
BART-COL-002,ReachabilityCardinality.xml,12,error,0.25378966331481934
AirplaneLD-COL-4000,ReachabilityCardinality.xml,16,error,0.5313029289245605
BART-COL-002,ReachabilityCardinality.xml,11,error,0.31587815284729004
AirplaneLD-COL-4000,ReachabilityCardinality.xml,15,error,0.5503189563751221
BART-COL-002,ReachabilityCardinality.xml,1,error,0.3829007148742676
BART-COL-002,ReachabilityCardinality.xml,10,error,0.38576269149780273
BART-COL-002,ReachabilityCardinality.xml,13,error,0.3049957752227783
AirplaneLD-COL-4000,ReachabilityCardinality.xml,4,error,0.5950284004211426
AirplaneLD-COL-4000,ReachabilityCardinality.xml,5,error,0.5260953903198242
AirplaneLD-COL-4000,ReachabilityCardinality.xml,2,error,0.6167492866516113
BART-COL-002,ReachabilityCardinality.xml,14,error,0.32713985443115234
AirplaneLD-COL-4000,ReachabilityCardinality.xml,7,error,0.5894455909729004
BART-COL-002,ReachabilityCardinality.xml,2,error,0.30706214904785156
AirplaneLD-COL-4000,ReachabilityCardinality.xml,8,error,0.574592113494873
AirplaneLD-COL-4000,ReachabilityCardinality.xml,3,error,0.680816650390625
BART-COL-002,ReachabilityCardinality.xml,16,error,0.3309338092803955
AirplaneLD-COL-4000,ReachabilityCardinality.xml,9,error,0.6162230968475342
